Feature,Importance
cp,0.18183366928165617
thalach,0.16573188702552122
age,0.1411041234037918
chol,0.12674641389242408
oldpeak,0.11847456925149895
trestbps,0.09550207652838866
exang,0.0788809936531768
sex,0.04152191807934346
restecg,0.03264728988195133
fbs,0.01755705900224764
